id,Title,Content,SKU,"Product Type","Parent Product ID","Product Size","Product Attributes",INGREDIENTS
1371,"Coconut Oil Lotion - Cucumber Melon (354ml)","Organic Fiji's nourishing lotion with Certified Organic Virgin Coconut Oil is a blend of plant extracts and essential oils that help to soothe and moisturize your skin. Let the fresh touch of Cucumber Melon revitalize and soothe your skin. <BR/><BR/>INGREDIENTS: Water, Certified Organic Coconut Oil*, Glycerol Stearate SE, Capric Acid, Glycerin, Cetyl Esters, Cetyl Alcohol, Phenoxyethanol, Xanthan Gum, Apricot Kernal Oil, Avocado Oil, Sweet Almond Oil, Citric Acid, Cucumber Melon Blend With Organics. *Certified Organic to the USDA National Organic Program.<BR/><BR/>360ml",FIJ833884000848,simple,0,,a:0:{},
1372,"Coconut Oil Lotion - Pineapple Coconut (354ml)","Organic Fiji's nourishing lotion with Certified Organic Virgin Coconut Oil is a blend of plant extracts and essential oils that help to soothe and moisturize your skin. Let the natural, tropical aroma of Pineapple and Coconut arouse your island spirit. <BR/><BR/>INGREDIENTS: Water, Certified Organic Coconut Oil*, Glycerol Stearate SE, Capric Acid, Glycerin, Cetyl Esters, Cetyl Alcohol, Phenoxyethanol, Xanthan Gum, Apricot Kernal Oil, Avocado Oil, Sweet Almond Oil, Citric Acid, Pineapple Coconut Blend with Organics. *Certified Organic to the USDA National Organic Program.<BR/><BR/>360ml",FIJ833884000732,simple,0,,a:0:{},
1373,"Coconut Oil Lotion - Lavender (89ml)","Organic Fiji's nourishing lotion with Certified Organic Virgin Coconut Oil is a blend of plant extracts and essential oils that help to soothe and moisturize your skin. Let the relaxing aroma of Lavender mellow your soul while pampering your skin. <BR/><BR/>INGREDIENTS: Water, Certified Organic Coconut Oil*, Glycerol Stearate SE, Capric Acid, Glycerin, Cetyl Esters, Cetyl Alcohol, Phenoxyethanol, Xanthan Gum, Apricot Kernal Oil, Avocado Oil, Sweet Almond Oil, Citric Acid, Certified Organic Lavender Blend*. *Certified Organic to the USDA National Organic Program.<BR/><BR/>90ml",FIJ833884000138,simple,0,,a:0:{},
1374,"Coconut Oil Lotion - Lemongrass Tangerine (89ml)","Organic Fiji's nourishing lotion with Certified Organic Virgin Coconut Oil is a blend of plant extracts and essential oils that help to soothe and moisturize your skin. Australian Lemongrass along with a spalsh of tangerine, will awaken your senses while revitalizing your skin. <BR/><BR/>INGREDIENTS: Water, Certified Organic Coconut Oil*, Glycerol Stearate SE, Capric Acid, Glycerin, Cetyl Esters, Cetyl Alcohol, Phenoxyethanol, Xanthan Gum, Apricot Kernal Oil, Avocado Oil, Sweet Almond Oil, Citric Acid, Certified Organic Lemongrass Tangerine Blend*. *Certified Organic to the USDA National Organic Program<BR/><BR/>90ml",FIJ833884000121,simple,0,,a:0:{},
1375,"Coconut Oil Lotion - Pineapple Coconut (89ml)","Organic Fiji's nourishing lotion with Certified Organic Virgin Coconut Oil is a blend of plant extracts and essential oils that help to soothe and moisturize your skin. Let the natural, tropical aroma of Pineapple and Coconut arouse your island spirit. <BR/><BR/>INGREDIENTS: Water, Certified Organic Coconut Oil*, Glycerol Stearate SE, Capric Acid, Glycerin, Cetyl Esters, Cetyl Alcohol, Phenoxyethanol, Xanthan Gum, Apricot Kernal Oil, Avocado Oil, Sweet Almond Oil, Citric Acid, Pineapple Coconut Blend with Organics. *Certified Organic to the USDA National Organic Program.<BR/><BR/>90ml",FIJ833884000671,simple,0,,a:0:{},
1376,"Body Oil French Lavender 8oz","This all over moisturizing formula is a balanced blend of key beneficial oils to lightly moisturize and nurture all skin types. Aromatic French Lavender imparts calming and healing properties to nurture skin. Rich Jojoba Oils balances and naturally renews skin health on a daily basis. Vitamin E a powerful antioxidant repairs skin and restores skin suppleness.",EO040066,simple,0,,a:0:{},
1377,"Hawaiian Ruby Guava Body Wash","Inspired by a surfing trip to Hawaii, this sexy and sultry tropical blend combines sweet, berry-like notes of Guava with a bright, citrusy top note of Pomelo and a warm and subtle Coconut base.<BR/><BR/>Big lather without sulfates! This rich, creamy wash is ideal for both shower and bath, great for shaving, and appropriate for all skin types. Purify and pamper the skin with an infusion of skin-loving naturals and Pacifica’s signature fragrance blends with essential and natural oils.",PAC68037,simple,0,,a:0:{},
1378,"Green Apple and Ginger Body Wash","Desert Essence Organics Body Washes are enriched with natural, botanical ingredients. These cleansers purify while nourishing the skin. <BR/><BR/>Ingredients: Water (Aqua), Pyrus Malus (Apple) Fruit Extract*, Zingiber Officinale (Ginger) Root Extract*, Acer Saccharum (Sugar Maple) Extract*, Saccarum Officinarum (Sugar Cane) Extract*, Salix Alba (Willow) Bark Extract*, Macrocystis Pyrifera Extract (Sea Kelp)*, Symphytum Officinale Leaf Extract (Comfrey)*, Vaccinium Myrtillus Fruit /Leaf Extract (Bilberry)*, Citrus Grandis (Grapefruit) Fruit Extract*, Citrus Aurantium Dulcis (Orange) Fruit Extract*, Citrus Medica Limonum (Lemon) Fruit Extract*, Sodium Coco-Sulfate (Coconut Derived), Decyl Glucoside (Coconut And Corn Derived), Glycerin, Simmondsia Chinensis (Jojoba) Seed Oil*, Butyrospermum Parkii (Shea) Butter*, Rice Amino Acids, Salicylic Acid, Citric Acid, Leuconostoc/Radish Root Ferment Filtrate, Lauryl Glucoside (Plant Derived), Benzyl Alcohol (Plant Derived), Potassium Sorbate (Fruit Derived), Stearyl Citrate (Vegetable Derived), Dehydroacetic Acid, Sodium Chloride, Natural Fragrance (Parfum) * Certified Organic.",DES3730DE,simple,0,,a:0:{},
1379,"Coconut Body Wash","Desert Essence Organics Body Washes are enriched with natural, botanical ingredients. These cleansers purify while nourishing the skin. <BR/><BR/>Ingredients: Water (Aqua), Coco Nucifera (Coconut) Oil*, Vanilla Planifolia Fruit Extract*, Acer Saccharum (Sugar Maple) Extract*, Saccarum Officinarum (Sugar Cane) Extract*, Vaccinium Myrtillus Fruit/Leaf Extract (Bilberry)*, Citrus Grandis (Grapefruit) Fruit Extract*, Citrus Aurantium Dulcis (Orange) Fruit Extract*, Citrus Medica Limonum (Lemon) Fruit Extract*, Sodium Coco-Sulfate (Coconut Derived), Decyl Glucoside (Coconut And Corn Derived), Glycerin, Simmondsia Chinensis (Jojoba) Seed Oil*, Butyrospermum Parkii (Shea) Butter*, Salicylic Acid, Citric Acid, Lauryl Glucoside (Plant Derived), Benzyl Alcohol (Plant Derived), Potassium Sorbate (Fruit Derived), Stearyl Citrate (Vegetable Derived), Sodium Chloride, Dehydroacetic Acid, Fragrance (Parfum) * Certified Organic.",DES3736DE,simple,0,,a:0:{},
1380,"Bulgarian Lavender Body Wash","Desert Essence Organics Body Washes are enriched with natural, botanical ingredients. These cleansers purify while nourishing the skin. <BR/><BR/>Ingredients: Water (Aqua), Decyl Glucoside (Vegetable Derived Soap), Sodium Coco-sulfate (Coconut Oil Derived Soap), Glycerin (Vegetable Derived), Lauryl Glucoside (Vegetable Derived Soap), Lavandula Angustifolia (Lavender) Oil1, Citrus Grandis (Grapefruit) Extract2, Macrocystis Pyrifera (Sea Kelp) Extract2, Lavandula Angustifolia (Lavender) Flower Extract2, Symphytum Officinale (Comfrey) Leaf Extract2, Salix Alba (Willow) Bark Extract3, Dehydroacetic Acid, Salicylic Acid (Skin Conditioning Agent), Butyrospermum Parkii (Shea Butter)3, Saccarum Officinarum (Sugar Cane) Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Medica Limonum (Lemon) Fruit Extract, Vaccinium Myrtillus (Bilberry) Fruit/leaf Extract, Acer Saccharum (Sugar Maple) Extract, Simmondsia Chinensis (Jojoba) Seed Oil3, Citric Acid, Benzyl Alcohol, Potassium Sorbate, Stearyl Citrate, Sodium Chloride, Fragrance (Natural). 1 Certified Organic by OTCO 2 Certified Organic by TDA 3 Certified Organic by QAI.",DES3734DE,simple,0,,a:0:{},
1381,"Tuscan Blood Orange Body Wash","In this delectable blend, juicy and spicy Blood Orange is offset with subtle Strawberry and Raspberry notes and grounded in fleshy Mandarin and Italian Sweet Orange. An orange connoisseur's dream.<BR/><BR/>Big lather without sulfates! This rich, creamy wash is ideal for both shower and bath, great for shaving, and appropriate for all skin types. Purify and pamper the skin with an infusion of skin-loving naturals and Pacifica’s signature fragrance blends with essential and natural oils.",PAC68027,simple,0,,a:0:{},
1382,"Vanilla Chai Body Wash","Desert Essence Organics Body Washes are enriched with natural, botanical ingredients. These cleansers purify while nourishing the skin. <BR/><BR/>Ingredients: Water (Aqua), Decyl Glucoside (Vegetable Derived Soap), Sodium Coco-sulfate (Coconut Oil Derived Soap), Glycerin (Vegetable Derived), Camillia Sinensis (Green Tea) Leaf Extract1, Camellia Oleifera (Black Tea) Leaf Extract1, Citrus Grandis (Grapefruit) Fruit Extract, Symphytum Officinale (Comfrey)2, Vanilla Planifolia (Vanilla) Extract2, Eugenia Caryophyllus (Clove) Flower Extract2, Dehydroacetic Acid, Salicylic Acid (Skin Conditioning Agent), Butyrospermum Parkii (Shea Butter)1, Saccarum Officinarum (Sugar Cane) Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Medica Limonum (Lemon) Fruit Extract, Vaccinium Myrtillus (Bilberry) Fruit/leaf Extract, Acer Saccharum (Sugar Maple) Extract, Simmondsia Chinensis (Jojoba) Seed Oil1, Citric Acid, Benzyl Alcohol, Potassium Sorbate, Stearyl Citrate, Sodium Chloride, Lauryl Glucoside, Fragrance (Natural). 1 Certified Organic by QAI 2 Certified Organic by TDA.",DES3735DE,simple,0,,a:0:{},
1383,"Indian Coconut Nectar Body Wash","<SPAN style=""FONT-SIZE: small"">Pacifica’s Indian Coconut Nectar is a sensuous and delicious blend inspired by travels to faraway destinations. This warm, sultry blend of coconut and delicate creamy vanilla is pure ambrosia.</SPAN><BR/><BR/><SPAN style=""FONT-SIZE: small"">Big lather without sulfates! This rich, creamy body wash is ideal for both shower and bath, great for shaving, and appropriate for all skin types.&nbsp; Purify and pamper the skin with an infusion of skin-loving naturals and Pacifica’s signature fragrance blends with essential and natural oils.</SPAN>",PAC68012,simple,0,,a:0:{},
1384,"Brazilian Mango Grapefruit Body Wash","<SPAN style=""FONT-SIZE: small"">A cross between Peach and Apricot with Pineapple undertones, this delicious blend mingles sultry, fleshy Mango with bright, tart Grapefruit. Reminiscent of summer.</SPAN><BR/><BR/><SPAN style=""FONT-SIZE: small"">Big lather without sulfates! This rich, creamy body wash is ideal for both shower and bath, great for shaving, and appropriate for all skin types.&nbsp; Purify and pamper the skin with an infusion of skin-loving naturals and Pacifica’s signature fragrance blends with essential and natural oils.</SPAN>",PAC68008,simple,0,,a:0:{},
1385,"Fragrance Free Body Wash","Desert Essence Organics Fragrance Free Body Wash is enriched with natural, botanical ingredients. This cleanser purifies while nourishing the skin. <BR/><BR/>Organic Jojoba Oil: An ingredient that works to leave the skin feeling moisturized and revitalized. <BR/><BR/>Grapefruit Seed Extract: Gently deep cleans pores and refreshes skin. <BR/><BR/>Alpha Hydroxy Acids: Help improve oil balance of the skin and gently exfoliate to reveal the next layer of fresher, younger skin. <BR/><BR/>Ingredients: Water (Aqua), Decyl Glucoside (Vegetable Derived Soap), Sodium Coco-sulfate (Coconut Oil Derived Soap), Glycerin (Vegetable Derived), Lauryl Glucoside (Vegetable Derived Soap), Citrus Grandis (Grapefruit) Extract1, Macrocystis Pyrifera (Sea Kelp) Extract1, Olea Europaea (Olive) Leaf Extract1, Camellia Sinensis (Green Tea) Leaf Extract2, Dehydroacetic Acid, Salicylic Acid (Skin Conditioning Agent), Butyrospermum Parkii (Shea Butter)2, Saccarum Officinarum (Sugar Cane) Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Medica Limonum (Lemon) Fruit Extract, Vaccinium Myrtillus (Bilberry) Fruit/Leaf Extract, Acer Saccharum (Sugar Maple) Extract, Simmondsia Chinensis (Jojoba) Seed Oil2, Citric Acid, Benzyl Alcohol, Potassium Sorbate, Stearyl Citrate, Sodium Chloride. 1. Certified Organic by TDA 2. Certified Organic By QAI.",DES3737DE,simple,0,,a:0:{},
1386,"Persian Rose Body Wash","<DIV class=""product-info-col col"">

<DIV class=fragrance-description>

<DIV class=""field field-type-text field-field-description"">

<DIV class=field-items>

<DIV class=""field-item odd"">

<P class=BasicParagraph><SPAN style=""FONT-SIZE: small"">Our blend of Bulgarian rose, subtle violet, myrrh and delicate fruit is a nod to the floral empire of the Persians, the kings of perfume in the 9th century. Spiritual, elegant and classic.</SPAN></P>

<P class=BasicParagraph><SPAN style=""FONT-SIZE: small"">Big lather without sulfates! This rich, creamy body wash is ideal for both shower and bath, great for shaving, and appropriate for all skin types.&nbsp; Purify and pamper the skin with an infusion of skin-loving naturals and Pacifica’s signature fragrance blends with essential and natural oils.&nbsp;</SPAN></P></DIV></DIV></DIV></DIV></DIV>",PAC68026,simple,0,,a:0:{},
1387,"Mediterranean Fig Body Wash","<SPAN style=""FONT-SIZE: small"">Earth meets ocean in this green, full-bodied blend with Sweet Fig, Palm, Cyclamen, Moss and Clove, all set in a luscious Sandalwood base. Sensuous and complex, it's a wonderfully imaginative take on classic fig.</SPAN><BR/><BR/><SPAN style=""FONT-SIZE: small"">Big lather without sulfates! This rich, creamy body wash is ideal for both shower and bath, great for shaving, and appropriate for all skin types.&nbsp; Purify and pamper the skin with an infusion of skin-loving naturals and Pacifica’s signature fragrance blends with essential and natural oils.&nbsp;</SPAN>",PAC68022,simple,0,,a:0:{},
1388,"Island Vanilla Body Wash","<SPAN style=""FONT-SIZE: small"">Inspired by the unique magic of Tahitian vanilla, this sensual blend sets sweet and sultry vanilla absolute, with honey-jasmine notes and a touch of fruitiness, against a deep and beautiful base of tea.</SPAN><BR/><BR/><SPAN style=""FONT-SIZE: small"">Big lather without sulfates! This rich, creamy body wash is ideal for both shower and bath, great for shaving, and appropriate for all skin types. Purify and pamper the skin with an infusion of skin-loving naturals and Pacifica’s signature fragrance blends with essential and natural oils.</SPAN>",PAC68003,simple,0,,a:0:{},
1389,"Loose Mineral Bronzer (4g) - Pure Element","<p>Bellapierre mineral face&amp; body bronzer Features an award-winning silky-smooth powder formula which adds a healthy, sun-kissed glow to any complexion and instantly gives your skin a ‘natural tan’. Recommended by make-up artists and dermatologists, bellapierre loose mineral bronzer is suitable for all skin types and conditions; from oily skin to dry, mature types and even the most sensitive. The best decision you can make to keep your skin healthy is to choose a mineral bronzer instead of the sun or even worse, a sun bed.</p><p><strong>Ingredients</strong>: Mica, Titanium Dioxide, Iron Oxides.</p><p>Tap a small amount of powder into the lid of the product using it as a pallet. Using the Blush Brush dip the brush into the loose powder and tap the end of the brush on a surface to remove excess powder and apply to cheek bones.</p><p>Apply to areas which the sun would hit to create a natural, sun kissed look. Tip of forehead, cheek bones, chin, and tip of nose.</p>",BP4FB3,simple,0,,a:0:{},
1390,"Loose Mineral Bronzer (4g) - Kisses","<p>Bellapierre mineral face&amp; body bronzer Features an award-winning silky-smooth powder formula which adds a healthy, sun-kissed glow to any complexion and instantly gives your skin a ‘natural tan’. Recommended by make-up artists and dermatologists, bellapierre loose mineral bronzer is suitable for all skin types and conditions; from oily skin to dry, mature types and even the most sensitive. The best decision you can make to keep your skin healthy is to choose a mineral bronzer instead of the sun or even worse, a sun bed.</p><p><strong>Ingredients</strong>: Mica, Titanium Dioxide, Iron Oxides.</p><p>Tap a small amount of powder into the lid of the product using it as a pallet. Using the Blush Brush dip the brush into the loose powder and tap the end of the brush on a surface to remove excess powder and apply to cheek bones.</p><p>Apply to areas which the sun would hit to create a natural, sun kissed look. Tip of forehead, cheek bones, chin, and tip of nose.</p>",BP4FB4,simple,0,,a:0:{},
1391,"Loose Mineral Bronzer (4g) - Starshine","<p>Bellapierre mineral face&amp; body bronzer Features an award-winning silky-smooth powder formula which adds a healthy, sun-kissed glow to any complexion and instantly gives your skin a ‘natural tan’. Recommended by make-up artists and dermatologists, bellapierre loose mineral bronzer is suitable for all skin types and conditions; from oily skin to dry, mature types and even the most sensitive. The best decision you can make to keep your skin healthy is to choose a mineral bronzer instead of the sun or even worse, a sun bed.</p><p><strong>Ingredients</strong>: Mica, Titanium Dioxide, Iron Oxides.</p><p>Tap a small amount of powder into the lid of the product using it as a pallet. Using the Blush Brush dip the brush into the loose powder and tap the end of the brush on a surface to remove excess powder and apply to cheek bones.</p><p>Apply to areas which the sun would hit to create a natural, sun kissed look. Tip of forehead, cheek bones, chin, and tip of nose.</p>",BP4FB2,simple,0,,a:0:{},
1392,"Loose Mineral Bronzer (4g) - Peony","<p>Bellapierre mineral face&amp; body bronzer Features an award-winning silky-smooth powder formula which adds a healthy, sun-kissed glow to any complexion and instantly gives your skin a ‘natural tan’. Recommended by make-up artists and dermatologists, bellapierre loose mineral bronzer is suitable for all skin types and conditions; from oily skin to dry, mature types and even the most sensitive. The best decision you can make to keep your skin healthy is to choose a mineral bronzer instead of the sun or even worse, a sun bed.</p><p><strong>Ingredients</strong>: Mica, Titanium Dioxide, Iron Oxides.</p><p>Tap a small amount of powder into the lid of the product using it as a pallet. Using the Blush Brush dip the brush into the loose powder and tap the end of the brush on a surface to remove excess powder and apply to cheek bones.</p><p>Apply to areas which the sun would hit to create a natural, sun kissed look. Tip of forehead, cheek bones, chin, and tip of nose.</p>",BP4FB1,simple,0,,a:0:{},
1393,"Eye Liner Brush (synthetic)","<p>The angled Eyeliner Brush is ideal for creating thin, controlled lines. It can be used wet or dry with Shimmer Powders for endless eyeliner possibilities, or even with Brow Powder for filling in sparse eyebrows. This is a cruelty-free brush, and is made of 100% synthetic fibers that will not shed during makeup application.</p><p>100% synthetic hair.</p><p><br></p><p>Bellapierre Professional makeup brushes are essential for flawless makeup application! Whether you use pressed or loose mineral makeup, we have an extensive collection of professional quality brushes to choose from! We have a variety of different types of makeup brushes for all different types of makeup applications, such as for blush, concealer, powder, eyeliner, eye shadow, and other brush sets with multiple brushes. Quality brushes allow you to apply your makeup easier, faster, and also make the experience more comfortable since they are made in specific shapes and sizes for whatever job is at hand. You don’t want your brushes to feel painful going across your face. Many women overlook the necessity of having good quality brushes, especially since most products you purchase already include applicators. These applicators tend to be poor quality and hard on your skin. Buying a separate set is very important to how well the makeup application process comes out in the end. If you have never used professional makeup brushes before, you will be amazed at how smooth and flawless your makeup will look when you choose Bellapierre!</p>",BPLIBR02,simple,0,,a:0:{},
1394,"Extra soft Kabuki Brush","<SPAN class=tab_content>Made with Taklon, the bellápierre kabuki brush is an essential accessory for your make-up kit. Its size and shape makes the super-soft kabuki brush excellent for applying mineral make-up and is perfect for achieving all-over coverage with a natural look.</SPAN>",BPKABR01,simple,0,,a:0:{},
1395,"Bubble Bath Be Well- Eucalyptus & Arnica 12 oz","EO® Eucalyptus and Arnica soothing Bubble Bath gently cleanses with Pure Essential Oils. Our richly foaming Bubble Bath creates lush and long lasting bubbles to pamper and indulge your skin. The proprietary EO® Purifying Complex of Arnica, Angelica and Echinacea extracts blend together in a powerful remedy to purify and alleviate symptoms associated with seasonal conditions. Our Coconut Cleansing Complex gently cleanses without drying. Glycerin, Rice Proteins, Allantoin, and Panthenol moisturize, hydrate and nurture skin.",EO030531,simple,0,,a:0:{},
1396,"Bubble Bath French Lavender 12oz","EO® French Lavender soothing Bubble Bath gently cleanses with Pure Essential Oils. Our richly foaming Bubble Bath creates lush and long lasting bubbles to pamper and indulge your skin. Our proprietary EO® Relaxing Complex is a luxurious blend of extracts from Hops and Fig Amino Acids to provide essential elements for ultimate skin hydration and softening. Our Coconut Cleansing Complex gently cleanses without drying. Glycerin, Rice Proteins, Allantoin, and Panthenol moisturize, hydrate and nurture skin.",EO030296,simple,0,,a:0:{},
1397,"Certified Organic Coconut Oil - Cucumber Melon (354ml)","It is rare to find a moisturizer more effective than Certified Organic Virgin Coconut Oil. Coconut Oil in it's purest firm is one of the most natural ways to moisturize and treat dry and irritated skin and can be used as an intensive treatment for damaged hair. Rich in vitamins and anti-oxidants, Coconut Oil is a true gift from nature. Fragrance Free is for fragrant sensitive skin and for those who wish to enjoy the natural purity of coconut oil.<BR/><BR/>INGREDIENTS: Cold-Pressed Cocos Nucifera (Coconut) Oil*, *Certified Organic to the USDA National Organic Program <BR/><BR/>360ml",FIJ833884001029,simple,0,,a:0:{},
1398,"Certified Organic Coconut Oil - Lemongrass Tangerine (354ml)","It is rare to find a moisturizer more effective than Certified Organic Virgin Coconut Oil. Coconut Oil in it's purest firm is one of the most natural ways to moisturize and treat dry and irritated skin and can be used as an intensive treatment for damaged hair. Rich in vitamins and anti-oxidants, Coconut Oil is a true gift from nature. Australian Lemongrass along with a splash of Tangerine, will awaken your senses while revitalizing your skin. <BR/><BR/>INGREDIENTS: Cold-Pressed Cocos Nucifera (coconut) Oil*, Certified Organic Lemongrass Tangerine Blend*, *Certified Organic to the USDA National Organic Program<BR/><BR/>360ml",FIJ833884000992,simple,0,,a:0:{},
1399,"Cold Pressed Extra Virgin Coconut Oil (13oz)","It is rare to find a moisturizer more effective than Certified Organic Virgin Coconut Oil. Coconut Oil in it's purest firm is one of the most natural ways to moisturize and treat dry and irritated skin and can be used as an intensive treatment for damaged hair. Rich in vitamins and anti-oxidants, Coconut Oil is a true gift from nature. Fragrance Free is for fragrant sensitive skin and for those who wish to enjoy the natural purity of coconut oil.<BR/><BR/>INGREDIENTS: Cold-Pressed Cocos Nucifera (Coconut) Oil*, *Certified Organic to the USDA National Organic Program <BR/><BR/>360ml",FIJ83388400109,simple,0,,a:0:{},
1400,"Certified Organic Coconut Oil - Pineapple Coconut (354ml)","It is rare to find a moisturizer more effective than Certified Organic Virgin Coconut Oil. Coconut Oil in it's purest firm is one of the most natural ways to moisturize and treat dry and irritated skin and can be used as an intensive treatment for damaged hair. Rich in vitamins and anti-oxidants, Coconut Oil is a true gift from nature. Let the natural, tropical aroma of Pineapple and Coconut arouse your island spirit. <BR/><BR/>INGREDIENTS: Cold-Pressed Cocos Nucifera (Coconut) Oil*, Pineapple Coconut Blend with Organics, *Certified Organic to the USDA National Organic Program<BR/><BR/>360ml",FIJ833884001012,simple,0,,a:0:{},
1401,"Certified Organic Coconut Oil - Pineapple Coconut (89ml)","It is rare to find a moisturizer more effective than Certified Organic Virgin Coconut Oil. Coconut Oil in it's purest firm is one of the most natural ways to moisturize and treat dry and irritated skin and can be used as an intensive treatment for damaged hair. Rich in vitamins and anti-oxidants, Coconut Oil is a true gift from nature. Let the natural, tropical aroma of Pineapple and Coconut arouse your island spirit. <BR/><BR/>INGREDIENTS: Cold-Pressed Cocos Nucifera (Coconut) Oil*, Pineapple Coconut Blend with Organics, *Certified Organic to the USDA National Organic Program<BR/><BR/>90ml",FIJ833884000831,simple,0,,a:0:{},
1402,"Certified Organic Coconut Oil - Lemongrass Tangerine (89ml)","It is rare to find a moisturizer more effective than Certified Organic Virgin Coconut Oil. Coconut Oil in it's purest firm is one of the most natural ways to moisturize and treat dry and irritated skin and can be used as an intensive treatment for damaged hair. Rich in vitamins and anti-oxidants, Coconut Oil is a true gift from nature. Australian Lemongrass along with a splash of Tangerine, will awaken your senses while revitalizing your skin. <BR/><BR/>INGREDIENTS: Cold-Pressed Cocos Nucifera (coconut) Oil*, Certified Organic Lemongrass Tangerine Blend*, *Certified Organic to the USDA National Organic Program<BR/><BR/>90ml",FIJ833884000190,simple,0,,a:0:{},
1403,"Color Correcting Concealer Palette","<p>Color correcting is a technique that has been used by makeup artists for decades to banish imperfections through use of colors that cancel each other out. Using the color wheel below, we know that the colors directly opposite from each other will cancel each other out ; meaning peach cancels out blue, purple cancels out yellow, and so on. A color correcting concealer that is used underneath foundation will make any imperfection virtually undetectable.</p><p>The Seashell Concealer can be used for fair and medium skin tones to cover any blue-violet imperfections such as dark undereye circles. Apply with a concealer brush to the desired area and blend with a clean finger or makeup sponge. Be sure to lightly apply a foundation on top to blend seamlessly with the rest of the face.<br><br> The Peach Concealer can be used for dark and deep skin tones to cover any blue-violet imperfections such as dark undereye circles or bruising. Apply with a concealer brush to the desired area and blend with a clean finger or makeup sponge. Be sure to lightly apply a foundation on top to blend seamlessly with the rest of the face.<br><br> The Red Concealer can be used for any skin tone to cover blue-green imperfections such as severe undereye circles or bruising. Apply with a concealer brush to the desired area and blend with a clean finger or makeup sponge. Be sure to lightly apply a foundation on top to blend seamlessly with the rest of the face.<br><br> The Green Concealer can be used for any skin tone to cover red imperfections such as acne blemishes and rosacea. Apply with a concealer brush to the desired area and blend with a clean finger or makeup sponge. Be sure to lightly apply a foundation on top to blend seamlessly with the rest of the face.<br><br> The Lavender Concealer can be used for any skin tone to cover yellow or brown imperfections such as sallowness or hyperpigmentation. Apply with a concealer brush to the desired area and blend with a clean finger or makeup sponge. Be sure to lightly apply a foundation on top to blend seamlessly with the rest of the face.<br><br> The Caramel Concealer can be used for fair and medium skin tones to contour, or by dark and deep skin tones to cover minor imperfections. Apply with a concealer brush to the desired area and blend with a brush or makeup sponge.</p>",BPTEP013,simple,0,,a:0:{},
1404,"Italian Red Grape Conditioner w/ UV Antioxidant Filters","A fast-penetrating, natural conditioner that is able to protect both color and non-color treated hair from damage done by environmental stressors such as the sun. The powerful antioxidants–resveratrol and red wine extract–are able to act as UV filters to protect the hair. <BR/><BR/>&nbsp;Organic Grape Extract, Resveratrol, and Red Wine Extract: A proprietary blend of ingredients extracted from red grapes native to Italy. This blend provides a high percentage of natural antioxidants that act as UV filters to aid in correcting damage. <BR/><BR/>&nbsp;Organic Grape Seed Oil: With a high level of Vitamin E, this oil is able to moisturize and assist hair in repairing damage. <BR/><BR/>&nbsp;Pure Vitamin E and B5: Vitamins that are absorbed into the hair shaft to work on damage that has occurred inside the structure of the hair. <BR/><BR/>&nbsp;Ingredients: Water (Aqua), Vitis Vinifera (Grape) Fruit Extract*, Olea Europaea (Olive) Leaf Extract*, Camellia Sinensis Leaf Extract (Green Tea) *, Urtica Dioica (Nettle) Leaf Extract*, Macrocystis Pyrifera Extract (Sea Kelp) *, Cetearyl Alcohol (Coconut Derived), Guar Hydroxypropyltrimonium Chloride (Plant Derived), Glyceryl Stearate SE (Corn Derived), Butyrospermum Parkii (Shea) Butter*, Helianthus Annuus (Sunflower) Seed Oil*, Simmondsia Chinensis (Jojoba) Seed Oil*, Vitis Vinifera (Grape) Seed Oil, Glycerin, Potassium Sorbate (Fruit Derived), Benzyl Alcohol (Plant Derived), Citric Acid, Dehydroacetic Acid, Natural Fragrance (Parfum) * Certified Organic.",DES3704DE,simple,0,,a:0:{},
